Date,Close,High,Low,Open,Volume
2004-08-19,2.4805285930633545,2.5724907007955613,2.372249665665562,2.472122535599925,897427216
2004-08-20,2.6775567531585693,2.6965918992497553,2.4844838896751833,2.4970913195361195,458857488
2004-08-23,2.704502820968628,2.8053653421692903,2.6958506534308047,2.737876447567055,366857939
2004-08-24,2.592515468597412,2.7588887660973636,2.5603775980873573,2.7499895432413908,306396159
2004-08-25,2.620450258255005,2.6698934124941425,2.5680412483570305,2.5947401020231093,184645512
2004-08-26,2.667668104171753,2.66865680163898,2.5873237745204576,2.5944928960546,142572401
2004-08-27,2.6241581439971924,2.6852200237970227,2.6127864683901922,2.672364592289247,124826132
2004-08-30,2.521813154220581,2.6078430917504187,2.521813154220581,2.602650891511266,104429967
2004-08-31,2.530712366104126,2.563838699759072,2.5255211129509902,2.5289822639113657,98825037
2004-09-01,2.4783031940460205,2.5455447910407454,2.463964715710837,2.538870018881148,183633734
2004-09-02,2.509451389312744,2.5307119302002854,2.4459177692196326,2.4520984286762433,303810504
2004-09-03,2.47236967086792,2.5151380512520074,2.4553126291662304,2.495608556107578,103538639
2004-09-07,2.5111825466156006,2.521565762493027,2.462481981902271,2.4970913605126936,117506800
2004-09-08,2.528982162475586,2.547028848022032,2.4844839169310973,2.49041633795841,100186120
2004-09-09,2.529229164123535,2.539117084458438,2.4968442372196527,2.5346674729789918,81620792
2004-09-10,2.6038870811462402,2.634294138915772,2.5042603239383383,2.511676737209856,174804764
2004-09-13,2.65753173828125,2.6800280332528494,2.6318215854664153,2.636024140612429,157628624
2004-09-14,2.7561705112457275,2.7687779422366785,2.6399798630744873,2.6562964477810356,217608605
2004-09-15,2.76877760887146,2.823906123963232,2.7242793651843815,2.7331795345379253,215279909
2004-09-16,2.8174784183502197,2.8627180706994904,2.7601256841437625,2.7771827265018643,186207345
2004-09-17,2.9044976234436035,2.9044976234436035,2.8070953112741055,2.8286029110103463,190350817
2004-09-20,2.95072603225708,3.0061016068552324,2.8866982903521397,2.8911479020218933,213585582
2004-09-21,2.913149833679199,2.976930519174107,2.904992015129819,2.961850635519053,145262446
2004-09-22,2.9264986515045166,2.958389467352989,2.887686717165655,2.902272488672941,152344894
2004-09-23,2.986819267272949,3.0315645677465324,2.8928778716414003,2.937871411354877,171524515
2004-09-24,2.9623448848724365,3.067904066917511,2.9606147827805325,2.9897849051250365,183336625
2004-09-27,2.9235329627990723,2.988302107138377,2.912161286387829,2.9556698873355542,141994242
2004-09-28,3.1361353397369385,3.14948417435316,2.971739432874207,2.998685341350608,340190355
